shift_id,restaurant_id,employee_id,employee_name,role,shift_start,shift_end,actual_start,actual_end,hours_worked,hourly_rate,shift_earnings,orders_handled,tips_received,performance_rating,notes
SHIFT10017,golden-spoon-001,EMP077,Employee 44,SERVER,2025-11-12T18:00:00,2025-11-13T02:00:00,2025-11-12T18:02:00,2025-11-13T02:07:00,8.08,150,1212.5,63,256.14,4.2,Training new staff
SHIFT10018,bean-brew-001,EMP062,Employee 69,SERVER,2025-10-04T06:00:00,2025-10-04T14:00:00,2025-10-04T06:06:00,2025-10-04T14:14:00,8.13,150,1220,74,179.1,4.2,Training new staff
SHIFT10019,golden-spoon-001,EMP095,Employee 70,KITCHEN_HELPER,2025-11-11T06:00:00,2025-11-11T14:00:00,2025-11-11T05:45:00,2025-11-11T13:50:00,8.08,130,1050.83,0,0,4.7,
SHIFT10020,golden-spoon-001,EMP006,Employee 53,BARISTA,2025-10-07T18:00:00,2025-10-08T02:00:00,2025-10-07T17:48:00,2025-10-08T01:53:00,8.08,200,1616.67,0,0,4.9,On time
SHIFT10021,golden-spoon-001,EMP022,Employee 87,KITCHEN_HELPER,2025-10-16T06:00:00,2025-10-16T14:00:00,2025-10-16T05:55:00,2025-10-16T13:54:00,7.98,130,1037.83,0,0,4.7,Handled rush hour well
SHIFT10022,golden-spoon-001,EMP038,Employee 52,KITCHEN_HELPER,2025-11-29T14:00:00,2025-11-29T22:00:00,2025-11-29T13:47:00,2025-11-29T22:03:00,8.27,130,1074.67,0,0,5,Handled rush hour well
SHIFT10023,crust-crumble-001,EMP060,Employee 54,SERVER,2025-09-25T06:00:00,2025-09-25T14:00:00,2025-09-25T05:54:00,2025-09-25T13:59:00,8.08,150,1212.5,52,208.95,4.4,Training new staff
SHIFT10024,golden-spoon-001,EMP089,Employee 9,SERVER,2025-10-26T06:00:00,2025-10-26T14:00:00,2025-10-26T05:50:00,2025-10-26T14:05:00,8.25,150,1237.5,53,173.55,4.9,
SHIFT10025,crust-crumble-001,EMP018,Employee 94,KITCHEN_HELPER,2025-10-04T18:00:00,2025-10-05T02:00:00,2025-10-04T17:56:00,2025-10-05T01:56:00,8,130,1040,0,0,4.3,
SHIFT10026,burger-blvd-001,EMP086,Employee 35,BARISTA,2025-09-10T06:00:00,2025-09-10T14:00:00,2025-09-10T06:03:00,2025-09-10T14:14:00,8.18,200,1636.67,0,0,4.6,On time
SHIFT10027,sweet-delights-001,EMP098,Employee 68,CASHIER,2025-09-22T18:00:00,2025-09-23T02:00:00,2025-09-22T18:10:00,2025-09-23T01:50:00,7.67,160,1226.67,0,0,3.5,On time
SHIFT10028,bean-brew-001,EMP018,Employee 83,CASHIER,2025-10-20T06:00:00,2025-10-20T14:00:00,2025-10-20T05:58:00,2025-10-20T14:19:00,8.35,160,1336,0,0,3.7,Training new staff
SHIFT10029,golden-spoon-001,EMP003,Employee 5,CASHIER,2025-11-19T18:00:00,2025-11-20T02:00:00,2025-11-19T17:54:00,2025-11-20T02:16:00,8.37,160,1338.67,0,0,4.9,Handled rush hour well
SHIFT10030,crust-crumble-001,EMP097,Employee 24,CASHIER,2025-12-06T18:00:00,2025-12-07T02:00:00,2025-12-06T18:09:00,2025-12-07T02:08:00,7.98,160,1277.33,0,0,3.7,On time
SHIFT10031,bean-brew-001,EMP098,Employee 32,SERVER,2025-09-17T14:00:00,2025-09-17T22:00:00,2025-09-17T13:48:00,2025-09-17T22:08:00,8.33,150,1250,22,250.5,4.7,Training new staff
SHIFT10032,sweet-delights-001,EMP033,Employee 15,BARISTA,2025-10-30T14:00:00,2025-10-30T22:00:00,2025-10-30T13:52:00,2025-10-30T21:50:00,7.97,200,1593.33,0,0,3.6,On time
SHIFT10033,crust-crumble-001,EMP023,Employee 73,DELIVERY_MANAGER,2025-09-29T14:00:00,2025-09-29T22:00:00,2025-09-29T13:46:00,2025-09-29T21:57:00,8.18,180,1473,0,0,4.1,Training new staff
SHIFT10034,golden-spoon-001,EMP063,Employee 52,CASHIER,2025-10-04T18:00:00,2025-10-05T02:00:00,2025-10-04T17:47:00,2025-10-05T01:58:00,8.18,160,1309.33,0,0,4.5,
SHIFT10035,crust-crumble-001,EMP061,Employee 39,DELIVERY_MANAGER,2025-10-11T14:00:00,2025-10-11T22:00:00,2025-10-11T13:53:00,2025-10-11T22:14:00,8.35,180,1503,0,0,4.9,
SHIFT10036,sweet-delights-001,EMP011,Employee 27,CHEF,2025-11-23T06:00:00,2025-11-23T14:00:00,2025-11-23T06:05:00,2025-11-23T14:02:00,7.95,250,1987.5,32,0,4.2,Handled rush hour well
SHIFT10037,sweet-delights-001,EMP018,Employee 32,KITCHEN_HELPER,2025-10-27T06:00:00,2025-10-27T14:00:00,2025-10-27T05:52:00,2025-10-27T14:12:00,8.33,130,1083.33,0,0,4.1,On time
SHIFT10038,bean-brew-001,EMP052,Employee 67,CASHIER,2025-11-11T18:00:00,2025-11-12T02:00:00,2025-11-11T17:54:00,2025-11-12T02:14:00,8.33,160,1333.33,0,0,3.7,Training new staff
SHIFT10039,burger-blvd-001,EMP078,Employee 19,CASHIER,2025-10-10T14:00:00,2025-10-10T22:00:00,2025-10-10T13:59:00,2025-10-10T22:13:00,8.23,160,1317.33,0,0,4.4,Handled rush hour well
SHIFT10040,noodle-nation-001,EMP097,Employee 3,CHEF,2025-10-08T06:00:00,2025-10-08T14:00:00,2025-10-08T06:08:00,2025-10-08T14:19:00,8.18,250,2045.83,21,0,4.2,Handled rush hour well
SHIFT10041,bean-brew-001,EMP044,Employee 10,SERVER,2025-12-05T14:00:00,2025-12-05T22:00:00,2025-12-05T14:07:00,2025-12-05T21:50:00,7.72,150,1157.5,61,347.88,4.6,
SHIFT10042,noodle-nation-001,EMP043,Employee 22,DELIVERY_MANAGER,2025-11-26T06:00:00,2025-11-26T14:00:00,2025-11-26T06:08:00,2025-11-26T14:16:00,8.13,180,1464,0,0,4.2,On time
SHIFT10043,burger-blvd-001,EMP040,Employee 88,SERVER,2025-09-14T14:00:00,2025-09-14T22:00:00,2025-09-14T13:52:00,2025-09-14T21:50:00,7.97,150,1195,47,416.34,3.9,
SHIFT10044,crust-crumble-001,EMP024,Employee 99,CASHIER,2025-11-28T18:00:00,2025-11-29T02:00:00,2025-11-28T18:10:00,2025-11-29T01:55:00,7.75,160,1240,0,0,3.5,
SHIFT10045,crust-crumble-001,EMP093,Employee 98,CASHIER,2025-11-11T14:00:00,2025-11-11T22:00:00,2025-11-11T14:05:00,2025-11-11T22:20:00,8.25,160,1320,0,0,4.2,On time
SHIFT10046,noodle-nation-001,EMP004,Employee 32,CASHIER,2025-09-10T18:00:00,2025-09-11T02:00:00,2025-09-10T18:01:00,2025-09-11T01:58:00,7.95,160,1272,0,0,4.1,Handled rush hour well
SHIFT10047,golden-spoon-001,EMP085,Employee 97,CASHIER,2025-10-20T18:00:00,2025-10-21T02:00:00,2025-10-20T17:47:00,2025-10-21T02:06:00,8.32,160,1330.67,0,0,3.6,On time
SHIFT10048,bean-brew-001,EMP100,Employee 23,KITCHEN_HELPER,2025-10-11T14:00:00,2025-10-11T22:00:00,2025-10-11T13:49:00,2025-10-11T21:50:00,8.02,130,1042.17,0,0,4.6,Training new staff
SHIFT10049,burger-blvd-001,EMP002,Employee 24,DELIVERY_MANAGER,2025-11-19T18:00:00,2025-11-20T02:00:00,2025-11-19T17:55:00,2025-11-20T02:02:00,8.12,180,1461,0,0,4.9,On time
SHIFT10050,bean-brew-001,EMP087,Employee 88,DELIVERY_MANAGER,2025-09-21T18:00:00,2025-09-22T02:00:00,2025-09-21T17:51:00,2025-09-22T01:53:00,8.03,180,1446,0,0,4,Training new staff
SHIFT10051,crust-crumble-001,EMP007,Employee 25,SERVER,2025-09-29T14:00:00,2025-09-29T22:00:00,2025-09-29T13:48:00,2025-09-29T22:11:00,8.38,150,1257.5,55,477.55,3.5,On time
SHIFT10052,burger-blvd-001,EMP034,Employee 21,CHEF,2025-09-22T18:00:00,2025-09-23T02:00:00,2025-09-22T18:04:00,2025-09-23T01:53:00,7.82,250,1954.17,37,0,4.2,Handled rush hour well
SHIFT10053,crust-crumble-001,EMP003,Employee 89,KITCHEN_HELPER,2025-09-11T06:00:00,2025-09-11T14:00:00,2025-09-11T05:46:00,2025-09-11T14:08:00,8.37,130,1087.67,0,0,4.5,Training new staff
SHIFT10054,golden-spoon-001,EMP028,Employee 93,KITCHEN_HELPER,2025-10-13T18:00:00,2025-10-14T02:00:00,2025-10-13T17:55:00,2025-10-14T01:50:00,7.92,130,1029.17,0,0,4.5,
SHIFT10055,sweet-delights-001,EMP091,Employee 23,DELIVERY_MANAGER,2025-10-30T06:00:00,2025-10-30T14:00:00,2025-10-30T05:45:00,2025-10-30T13:53:00,8.13,180,1464,0,0,4.4,
SHIFT10056,crust-crumble-001,EMP017,Employee 7,CASHIER,2025-09-20T18:00:00,2025-09-21T02:00:00,2025-09-20T18:02:00,2025-09-21T01:52:00,7.83,160,1253.33,0,0,4.3,Training new staff
SHIFT10057,crust-crumble-001,EMP082,Employee 87,CASHIER,2025-11-21T18:00:00,2025-11-22T02:00:00,2025-11-21T17:55:00,2025-11-22T02:11:00,8.27,160,1322.67,0,0,4.8,On time
SHIFT10058,sweet-delights-001,EMP064,Employee 13,CASHIER,2025-10-06T18:00:00,2025-10-07T02:00:00,2025-10-06T18:01:00,2025-10-07T02:07:00,8.1,160,1296,0,0,4.6,
SHIFT10059,bean-brew-001,EMP011,Employee 79,CASHIER,2025-11-26T06:00:00,2025-11-26T14:00:00,2025-11-26T05:57:00,2025-11-26T14:12:00,8.25,160,1320,0,0,3.8,On time
SHIFT10060,bean-brew-001,EMP059,Employee 23,DELIVERY_MANAGER,2025-12-05T06:00:00,2025-12-05T14:00:00,2025-12-05T06:04:00,2025-12-05T14:12:00,8.13,180,1464,0,0,3.9,On time
SHIFT10061,noodle-nation-001,EMP064,Employee 31,DELIVERY_MANAGER,2025-11-15T18:00:00,2025-11-16T02:00:00,2025-11-15T17:48:00,2025-11-16T02:15:00,8.45,180,1521,0,0,4.3,On time
SHIFT10062,burger-blvd-001,EMP061,Employee 64,DELIVERY_MANAGER,2025-09-29T14:00:00,2025-09-29T22:00:00,2025-09-29T14:02:00,2025-09-29T22:18:00,8.27,180,1488,0,0,4.1,Handled rush hour well
SHIFT10063,crust-crumble-001,EMP073,Employee 37,CHEF,2025-10-11T18:00:00,2025-10-12T02:00:00,2025-10-11T17:45:00,2025-10-12T02:06:00,8.35,250,2087.5,28,0,4.3,
SHIFT10064,noodle-nation-001,EMP044,Employee 50,KITCHEN_HELPER,2025-12-06T06:00:00,2025-12-06T14:00:00,2025-12-06T05:55:00,2025-12-06T13:59:00,8.07,130,1048.67,0,0,4.1,Handled rush hour well
SHIFT10065,sweet-delights-001,EMP003,Employee 74,DELIVERY_MANAGER,2025-11-02T06:00:00,2025-11-02T14:00:00,2025-11-02T05:48:00,2025-11-02T14:02:00,8.23,180,1482,0,0,3.7,On time
SHIFT10066,noodle-nation-001,EMP042,Employee 93,DELIVERY_MANAGER,2025-09-12T06:00:00,2025-09-12T14:00:00,2025-09-12T06:07:00,2025-09-12T13:51:00,7.73,180,1392,0,0,4.3,
SHIFT10067,noodle-nation-001,EMP052,Employee 33,BARISTA,2025-11-09T18:00:00,2025-11-10T02:00:00,2025-11-09T17:58:00,2025-11-10T01:57:00,7.98,200,1596.67,0,0,4.9,On time
SHIFT10068,crust-crumble-001,EMP061,Employee 85,CHEF,2025-11-18T18:00:00,2025-11-19T02:00:00,2025-11-18T18:05:00,2025-11-19T02:11:00,8.1,250,2025,60,0,3.7,
SHIFT10069,bean-brew-001,EMP004,Employee 30,DELIVERY_MANAGER,2025-10-18T18:00:00,2025-10-19T02:00:00,2025-10-18T17:49:00,2025-10-19T01:57:00,8.13,180,1464,0,0,4.1,On time
SHIFT10070,sweet-delights-001,EMP065,Employee 28,BARISTA,2025-09-14T06:00:00,2025-09-14T14:00:00,2025-09-14T06:08:00,2025-09-14T14:14:00,8.1,200,1620,0,0,3.9,
SHIFT10071,sweet-delights-001,EMP045,Employee 95,SERVER,2025-11-24T06:00:00,2025-11-24T14:00:00,2025-11-24T06:04:00,2025-11-24T13:54:00,7.83,150,1175,14,262.69,3.8,Handled rush hour well
SHIFT10072,noodle-nation-001,EMP064,Employee 7,BARISTA,2025-10-18T18:00:00,2025-10-19T02:00:00,2025-10-18T17:54:00,2025-10-19T02:19:00,8.42,200,1683.33,0,0,4.7,On time
SHIFT10073,burger-blvd-001,EMP006,Employee 7,BARISTA,2025-11-07T06:00:00,2025-11-07T14:00:00,2025-11-07T06:06:00,2025-11-07T13:50:00,7.73,200,1546.67,0,0,4.7,Handled rush hour well
SHIFT10074,crust-crumble-001,EMP053,Employee 32,CASHIER,2025-09-27T18:00:00,2025-09-28T02:00:00,2025-09-27T18:05:00,2025-09-28T01:56:00,7.85,160,1256,0,0,5,Training new staff
SHIFT10075,bean-brew-001,EMP012,Employee 57,DELIVERY_MANAGER,2025-10-26T14:00:00,2025-10-26T22:00:00,2025-10-26T13:54:00,2025-10-26T21:57:00,8.05,180,1449,0,0,4.2,On time
SHIFT10076,sweet-delights-001,EMP010,Employee 88,CHEF,2025-10-10T14:00:00,2025-10-10T22:00:00,2025-10-10T14:05:00,2025-10-10T21:51:00,7.77,250,1941.67,37,0,4.1,
SHIFT10077,burger-blvd-001,EMP023,Employee 59,SERVER,2025-10-15T14:00:00,2025-10-15T22:00:00,2025-10-15T14:08:00,2025-10-15T21:59:00,7.85,150,1177.5,16,146.31,4.4,Handled rush hour well
SHIFT10078,crust-crumble-001,EMP016,Employee 85,CHEF,2025-10-04T14:00:00,2025-10-04T22:00:00,2025-10-04T14:10:00,2025-10-04T22:00:00,7.83,250,1958.33,20,0,4.9,Training new staff
SHIFT10079,noodle-nation-001,EMP051,Employee 73,CASHIER,2025-12-03T06:00:00,2025-12-03T14:00:00,2025-12-03T05:59:00,2025-12-03T14:10:00,8.18,160,1309.33,0,0,4.5,
SHIFT10080,burger-blvd-001,EMP064,Employee 28,CASHIER,2025-11-02T18:00:00,2025-11-03T02:00:00,2025-11-02T17:57:00,2025-11-03T02:20:00,8.38,160,1341.33,0,0,4,Handled rush hour well
SHIFT10081,bean-brew-001,EMP040,Employee 18,CHEF,2025-10-21T06:00:00,2025-10-21T14:00:00,2025-10-21T05:46:00,2025-10-21T14:15:00,8.48,250,2120.83,56,0,4.1,On time
SHIFT10082,sweet-delights-001,EMP086,Employee 60,CHEF,2025-10-26T18:00:00,2025-10-27T02:00:00,2025-10-26T18:03:00,2025-10-27T02:03:00,8,250,2000,64,0,4.7,On time
SHIFT10083,bean-brew-001,EMP081,Employee 4,CHEF,2025-10-04T18:00:00,2025-10-05T02:00:00,2025-10-04T17:56:00,2025-10-05T01:57:00,8.02,250,2004.17,77,0,3.5,
SHIFT10084,bean-brew-001,EMP081,Employee 96,SERVER,2025-11-15T18:00:00,2025-11-16T02:00:00,2025-11-15T18:01:00,2025-11-16T01:58:00,7.95,150,1192.5,33,54.92,4.6,
SHIFT10085,noodle-nation-001,EMP061,Employee 53,CASHIER,2025-12-02T18:00:00,2025-12-03T02:00:00,2025-12-02T18:10:00,2025-12-03T02:10:00,8,160,1280,0,0,4.3,Handled rush hour well
SHIFT10086,golden-spoon-001,EMP028,Employee 95,DELIVERY_MANAGER,2025-09-30T14:00:00,2025-09-30T22:00:00,2025-09-30T13:45:00,2025-09-30T21:57:00,8.2,180,1476,0,0,4.5,On time
SHIFT10087,crust-crumble-001,EMP014,Employee 91,KITCHEN_HELPER,2025-10-19T18:00:00,2025-10-20T02:00:00,2025-10-19T18:03:00,2025-10-20T02:13:00,8.17,130,1061.67,0,0,4.3,Training new staff
SHIFT10088,sweet-delights-001,EMP093,Employee 32,CASHIER,2025-12-02T06:00:00,2025-12-02T14:00:00,2025-12-02T06:07:00,2025-12-02T14:11:00,8.07,160,1290.67,0,0,4.4,
SHIFT10089,bean-brew-001,EMP046,Employee 73,CASHIER,2025-09-22T18:00:00,2025-09-23T02:00:00,2025-09-22T17:49:00,2025-09-23T01:59:00,8.17,160,1306.67,0,0,3.9,Handled rush hour well
SHIFT10090,sweet-delights-001,EMP046,Employee 98,KITCHEN_HELPER,2025-11-29T06:00:00,2025-11-29T14:00:00,2025-11-29T06:06:00,2025-11-29T14:04:00,7.97,130,1035.67,0,0,4.6,Handled rush hour well
SHIFT10091,golden-spoon-001,EMP071,Employee 7,KITCHEN_HELPER,2025-11-20T06:00:00,2025-11-20T14:00:00,2025-11-20T05:51:00,2025-11-20T14:14:00,8.38,130,1089.83,0,0,4.6,Training new staff
SHIFT10092,noodle-nation-001,EMP021,Employee 27,CHEF,2025-09-20T14:00:00,2025-09-20T22:00:00,2025-09-20T13:45:00,2025-09-20T22:14:00,8.48,250,2120.83,25,0,3.9,On time
SHIFT10093,burger-blvd-001,EMP029,Employee 81,BARISTA,2025-12-03T14:00:00,2025-12-03T22:00:00,2025-12-03T13:55:00,2025-12-03T22:18:00,8.38,200,1676.67,0,0,3.6,On time
SHIFT10094,bean-brew-001,EMP079,Employee 57,KITCHEN_HELPER,2025-10-03T14:00:00,2025-10-03T22:00:00,2025-10-03T13:46:00,2025-10-03T21:59:00,8.22,130,1068.17,0,0,3.6,Handled rush hour well
SHIFT10095,noodle-nation-001,EMP059,Employee 56,CASHIER,2025-10-25T14:00:00,2025-10-25T22:00:00,2025-10-25T13:47:00,2025-10-25T21:55:00,8.13,160,1301.33,0,0,4.6,Training new staff
SHIFT10096,bean-brew-001,EMP066,Employee 52,CHEF,2025-09-29T14:00:00,2025-09-29T22:00:00,2025-09-29T13:57:00,2025-09-29T21:56:00,7.98,250,1995.83,43,0,4,Handled rush hour well
SHIFT10097,bean-brew-001,EMP012,Employee 41,KITCHEN_HELPER,2025-09-12T14:00:00,2025-09-12T22:00:00,2025-09-12T13:48:00,2025-09-12T22:12:00,8.4,130,1092,0,0,3.6,On time
SHIFT10098,sweet-delights-001,EMP072,Employee 37,SERVER,2025-11-02T06:00:00,2025-11-02T14:00:00,2025-11-02T06:07:00,2025-11-02T13:50:00,7.72,150,1157.5,11,228.64,4.4,Handled rush hour well
SHIFT10099,sweet-delights-001,EMP070,Employee 77,SERVER,2025-10-18T14:00:00,2025-10-18T22:00:00,2025-10-18T13:45:00,2025-10-18T21:50:00,8.08,150,1212.5,60,416.31,4.4,
SHIFT10100,golden-spoon-001,EMP048,Employee 92,SERVER,2025-10-11T06:00:00,2025-10-11T14:00:00,2025-10-11T05:55:00,2025-10-11T14:06:00,8.18,150,1227.5,27,422.3,3.8,On time
SHIFT10101,crust-crumble-001,EMP056,Employee 86,CHEF,2025-11-25T06:00:00,2025-11-25T14:00:00,2025-11-25T05:58:00,2025-11-25T14:06:00,8.13,250,2033.33,43,0,4.9,
SHIFT10102,noodle-nation-001,EMP053,Employee 44,SERVER,2025-12-01T14:00:00,2025-12-01T22:00:00,2025-12-01T14:09:00,2025-12-01T22:13:00,8.07,150,1210,15,225.5,4.7,Training new staff
SHIFT10103,sweet-delights-001,EMP012,Employee 51,CHEF,2025-12-03T06:00:00,2025-12-03T14:00:00,2025-12-03T05:52:00,2025-12-03T14:06:00,8.23,250,2058.33,32,0,3.8,Handled rush hour well
SHIFT10104,crust-crumble-001,EMP050,Employee 87,BARISTA,2025-11-11T06:00:00,2025-11-11T14:00:00,2025-11-11T06:09:00,2025-11-11T13:58:00,7.82,200,1563.33,0,0,4,
SHIFT10105,bean-brew-001,EMP081,Employee 91,CHEF,2025-11-03T14:00:00,2025-11-03T22:00:00,2025-11-03T13:53:00,2025-11-03T22:14:00,8.35,250,2087.5,36,0,3.7,On time
SHIFT10106,crust-crumble-001,EMP045,Employee 90,BARISTA,2025-09-26T18:00:00,2025-09-27T02:00:00,2025-09-26T18:08:00,2025-09-27T02:01:00,7.88,200,1576.67,0,0,3.9,Handled rush hour well
SHIFT10107,bean-brew-001,EMP048,Employee 19,CASHIER,2025-11-17T18:00:00,2025-11-18T02:00:00,2025-11-17T17:47:00,2025-11-18T01:53:00,8.1,160,1296,0,0,4.4,On time
SHIFT10108,noodle-nation-001,EMP022,Employee 32,KITCHEN_HELPER,2025-09-27T14:00:00,2025-09-27T22:00:00,2025-09-27T14:08:00,2025-09-27T21:58:00,7.83,130,1018.33,0,0,4.1,
SHIFT10109,golden-spoon-001,EMP073,Employee 83,CASHIER,2025-09-12T18:00:00,2025-09-13T02:00:00,2025-09-12T17:50:00,2025-09-13T01:50:00,8,160,1280,0,0,4.9,
SHIFT10110,burger-blvd-001,EMP086,Employee 2,CHEF,2025-11-22T14:00:00,2025-11-22T22:00:00,2025-11-22T14:07:00,2025-11-22T22:10:00,8.05,250,2012.5,48,0,3.6,Handled rush hour well
SHIFT10111,sweet-delights-001,EMP015,Employee 79,KITCHEN_HELPER,2025-09-30T14:00:00,2025-09-30T22:00:00,2025-09-30T14:08:00,2025-09-30T22:00:00,7.87,130,1022.67,0,0,4.8,On time
SHIFT10112,golden-spoon-001,EMP031,Employee 12,CASHIER,2025-09-15T06:00:00,2025-09-15T14:00:00,2025-09-15T06:07:00,2025-09-15T14:16:00,8.15,160,1304,0,0,4.1,
SHIFT10113,sweet-delights-001,EMP088,Employee 25,CHEF,2025-11-01T18:00:00,2025-11-02T02:00:00,2025-11-01T18:10:00,2025-11-02T02:05:00,7.92,250,1979.17,71,0,4.6,Handled rush hour well
SHIFT10114,bean-brew-001,EMP011,Employee 20,CASHIER,2025-10-26T06:00:00,2025-10-26T14:00:00,2025-10-26T06:08:00,2025-10-26T14:02:00,7.9,160,1264,0,0,4.6,On time
SHIFT10115,sweet-delights-001,EMP087,Employee 19,CHEF,2025-11-18T14:00:00,2025-11-18T22:00:00,2025-11-18T14:08:00,2025-11-18T22:16:00,8.13,250,2033.33,45,0,4,Handled rush hour well
SHIFT10116,sweet-delights-001,EMP088,Employee 8,CASHIER,2025-11-18T06:00:00,2025-11-18T14:00:00,2025-11-18T05:54:00,2025-11-18T14:12:00,8.3,160,1328,0,0,3.8,On time
SHIFT10117,noodle-nation-001,EMP062,Employee 37,CASHIER,2025-09-16T18:00:00,2025-09-17T02:00:00,2025-09-16T18:09:00,2025-09-17T02:02:00,7.88,160,1261.33,0,0,4.6,Handled rush hour well
SHIFT10118,burger-blvd-001,EMP020,Employee 98,BARISTA,2025-12-01T18:00:00,2025-12-02T02:00:00,2025-12-01T18:08:00,2025-12-02T02:08:00,8,200,1600,0,0,3.9,On time
SHIFT10119,sweet-delights-001,EMP035,Employee 61,BARISTA,2025-11-10T14:00:00,2025-11-10T22:00:00,2025-11-10T13:57:00,2025-11-10T22:13:00,8.27,200,1653.33,0,0,4.3,Handled rush hour well
SHIFT10120,bean-brew-001,EMP083,Employee 57,CHEF,2025-11-24T14:00:00,2025-11-24T22:00:00,2025-11-24T13:46:00,2025-11-24T22:20:00,8.57,250,2141.67,46,0,4.9,Training new staff
SHIFT10121,noodle-nation-001,EMP075,Employee 14,CHEF,2025-10-16T06:00:00,2025-10-16T14:00:00,2025-10-16T05:53:00,2025-10-16T14:03:00,8.17,250,2041.67,41,0,4,Handled rush hour well
SHIFT10122,golden-spoon-001,EMP037,Employee 83,CASHIER,2025-11-07T06:00:00,2025-11-07T14:00:00,2025-11-07T05:50:00,2025-11-07T13:52:00,8.03,160,1285.33,0,0,4.1,Handled rush hour well
SHIFT10123,golden-spoon-001,EMP055,Employee 16,CASHIER,2025-09-10T06:00:00,2025-09-10T14:00:00,2025-09-10T06:08:00,2025-09-10T14:12:00,8.07,160,1290.67,0,0,4.8,On time
SHIFT10124,golden-spoon-001,EMP089,Employee 38,KITCHEN_HELPER,2025-10-09T14:00:00,2025-10-09T22:00:00,2025-10-09T13:58:00,2025-10-09T22:03:00,8.08,130,1050.83,0,0,4.1,On time
SHIFT10125,bean-brew-001,EMP048,Employee 62,DELIVERY_MANAGER,2025-11-19T14:00:00,2025-11-19T22:00:00,2025-11-19T13:49:00,2025-11-19T22:14:00,8.42,180,1515,0,0,4.5,Handled rush hour well
