order_id,restaurant_id,customer_id,order_channel,order_type,created_at,status,payment_method,payment_status,subtotal,tax,delivery_fee,discount,tip_amount,total_amount,delivery_time_min,is_on_time,customer_rating,items_count,time_slot,is_weekend,is_holiday
ORD10011,bean-brew-001,CUST5001,DINE_IN,DINE_IN,2025-09-10T21:27:10,COMPLETED,CARD,SUCCESS,495.82,49.58,0,120.47,0,583.32,0,TRUE,5,6,DINNER,FALSE,FALSE
ORD10012,crust-crumble-001,CUST5309,DRIVE_THRU,TAKEAWAY,2025-09-10T14:55:40,CANCELLED,CASH,FAILED,302.46,30.25,0,15.04,0,355.83,0,TRUE,,5,LUNCH,FALSE,FALSE
ORD10013,burger-blvd-001,CUST5303,SWIGGY,DELIVERY,2025-09-10T21:34:49,CANCELLED,CASH,FAILED,415.74,41.57,50,50.78,20.07,489.11,34,TRUE,,6,DINNER,FALSE,FALSE
ORD10014,bean-brew-001,CUST5189,DINE_IN,DINE_IN,2025-09-10T09:03:15,COMPLETED,UPI,SUCCESS,387.44,38.74,0,70.89,0,455.81,0,TRUE,4,5,BREAKFAST,FALSE,FALSE
ORD10015,bean-brew-001,CUST5251,TAKEAWAY,DINE_IN,2025-09-10T11:08:42,COMPLETED,WALLET,SUCCESS,250.51,25.05,0,16.6,0,294.72,0,TRUE,5,5,LUNCH,FALSE,FALSE
ORD10016,bean-brew-001,CUST5014,TAKEAWAY,DINE_IN,2025-09-10T09:59:34,COMPLETED,WALLET,SUCCESS,405.33,40.53,0,72.24,0,476.85,0,TRUE,4,1,BREAKFAST,FALSE,FALSE
ORD10017,burger-blvd-001,CUST5471,WEBSITE,DELIVERY,2025-09-10T22:28:57,COMPLETED,CARD,SUCCESS,228.45,22.85,45,12.83,40.43,268.77,29,TRUE,3,3,DINNER,FALSE,FALSE
ORD10018,noodle-nation-001,CUST5162,SWIGGY,DELIVERY,2025-09-10T19:04:45,COMPLETED,UPI,SUCCESS,543.39,54.34,34,123,87.37,639.28,47,TRUE,5,3,DINNER,FALSE,FALSE
ORD10019,sweet-delights-002,CUST5134,ZOMATO,DELIVERY,2025-09-10T07:17:42,COMPLETED,WALLET,SUCCESS,211.9,21.19,38,38.32,89.41,249.29,30,FALSE,5,4,BREAKFAST,FALSE,FALSE
ORD10020,sweet-delights-002,CUST5047,SWIGGY,DELIVERY,2025-09-10T12:51:26,COMPLETED,WALLET,SUCCESS,265.96,26.6,72,28.66,48.12,312.89,18,TRUE,4,6,LUNCH,FALSE,FALSE
ORD10021,noodle-nation-001,CUST5474,ZOMATO,DELIVERY,2025-09-10T12:03:25,COMPLETED,CARD,SUCCESS,443.6,44.36,45,21.25,58.27,521.88,42,TRUE,5,3,LUNCH,FALSE,FALSE
ORD10022,sweet-delights-001,CUST5461,SWIGGY,DELIVERY,2025-09-10T08:17:29,COMPLETED,UPI,SUCCESS,435.84,43.58,65,10.67,68.69,512.75,20,TRUE,5,5,BREAKFAST,FALSE,FALSE
ORD10023,bean-brew-001,CUST5392,DINE_IN,DINE_IN,2025-09-10T14:10:26,COMPLETED,UPI,SUCCESS,293.85,29.38,0,63.52,0,345.7,0,TRUE,5,2,LUNCH,FALSE,FALSE
ORD10024,sweet-delights-002,CUST5460,DINE_IN,DINE_IN,2025-09-10T02:24:00,COMPLETED,WALLET,SUCCESS,457.09,45.71,0,32.6,0,537.76,0,TRUE,4,1,LATE_NIGHT,FALSE,FALSE
ORD10025,sweet-delights-002,CUST5406,SWIGGY,DELIVERY,2025-09-10T12:12:18,CANCELLED,UPI,FAILED,389.66,38.97,77,52.82,77.32,458.42,18,FALSE,,5,LUNCH,FALSE,FALSE
ORD10026,burger-blvd-001,CUST5028,ZOMATO,DELIVERY,2025-09-10T14:32:58,COMPLETED,UPI,SUCCESS,299.44,29.94,62,6,26.72,352.28,30,FALSE,4,3,LUNCH,FALSE,FALSE
ORD10027,burger-blvd-001,CUST5061,ZOMATO,DELIVERY,2025-09-10T19:07:56,CANCELLED,CASH,FAILED,425.61,42.56,68,4.23,17.38,500.72,31,TRUE,,1,DINNER,FALSE,FALSE
ORD10028,sweet-delights-002,CUST5283,ZOMATO,DELIVERY,2025-09-10T08:42:45,COMPLETED,WALLET,SUCCESS,388.96,38.9,55,12.73,68.1,457.6,35,TRUE,5,4,BREAKFAST,FALSE,FALSE
ORD10029,burger-blvd-001,CUST5347,DRIVE_THRU,TAKEAWAY,2025-09-10T13:00:29,COMPLETED,CARD,SUCCESS,262.4,26.24,0,4.81,0,308.71,0,TRUE,4,6,LUNCH,FALSE,FALSE
ORD10030,sweet-delights-002,CUST5376,SWIGGY,DELIVERY,2025-09-10T08:08:59,COMPLETED,CASH,SUCCESS,374.08,37.41,53,26.65,49.44,440.09,48,TRUE,5,1,BREAKFAST,FALSE,FALSE
ORD10031,burger-blvd-001,CUST5164,DINE_IN,DINE_IN,2025-09-10T20:42:52,COMPLETED,CARD,SUCCESS,85,8.5,0,19.95,0,100,0,TRUE,5,2,DINNER,FALSE,FALSE
ORD10032,sweet-delights-001,CUST5462,DRIVE_THRU,TAKEAWAY,2025-09-10T12:07:56,COMPLETED,CARD,SUCCESS,332.74,33.27,0,22.66,0,391.46,0,TRUE,4,1,LUNCH,FALSE,FALSE
ORD10033,noodle-nation-001,CUST5267,ZOMATO,DELIVERY,2025-09-10T13:13:43,COMPLETED,UPI,SUCCESS,338.03,33.8,61,21.22,91.73,397.68,20,FALSE,4,2,LUNCH,FALSE,FALSE
ORD10034,sweet-delights-001,CUST5100,SWIGGY,DELIVERY,2025-09-10T19:53:17,COMPLETED,CARD,SUCCESS,383.12,38.31,79,12.53,98.18,450.73,43,FALSE,4,1,DINNER,FALSE,FALSE
ORD10035,sweet-delights-001,CUST5342,SWIGGY,DELIVERY,2025-09-10T10:35:00,COMPLETED,CARD,SUCCESS,290.93,29.09,64,2.62,43.23,342.27,42,TRUE,4,1,BREAKFAST,FALSE,FALSE
ORD10036,crust-crumble-001,CUST5125,SWIGGY,DELIVERY,2025-09-10T19:02:19,COMPLETED,CASH,SUCCESS,739.22,73.92,43,126.05,70.02,869.67,50,FALSE,4,4,DINNER,FALSE,FALSE
ORD10037,sweet-delights-002,CUST5438,ZOMATO,DELIVERY,2025-09-10T13:39:47,COMPLETED,CASH,SUCCESS,517.69,51.77,41,114.08,12.23,609.05,41,TRUE,5,3,LUNCH,FALSE,FALSE
ORD10038,bean-brew-001,CUST5293,DINE_IN,DINE_IN,2025-09-10T10:17:10,COMPLETED,WALLET,SUCCESS,423.14,42.31,0,92.26,0,497.81,0,TRUE,4,4,BREAKFAST,FALSE,FALSE
ORD10039,bean-brew-001,CUST5143,DINE_IN,DINE_IN,2025-09-10T22:12:52,COMPLETED,CARD,SUCCESS,421.74,42.17,0,86.51,0,496.17,0,TRUE,5,4,DINNER,FALSE,FALSE
ORD10040,sweet-delights-002,CUST5463,WEBSITE,DELIVERY,2025-09-10T14:01:42,COMPLETED,CASH,SUCCESS,257.78,25.78,47,55.7,97.02,303.27,37,FALSE,3,4,LUNCH,FALSE,FALSE
ORD10041,burger-blvd-001,CUST5146,DINE_IN,DINE_IN,2025-09-10T12:43:53,COMPLETED,CASH,SUCCESS,370.75,37.07,0,10.69,0,436.18,0,TRUE,4,4,LUNCH,FALSE,FALSE
ORD10042,sweet-delights-001,CUST5423,SWIGGY,DELIVERY,2025-09-10T21:37:16,CANCELLED,WALLET,FAILED,260.58,26.06,57,22.52,80.78,306.57,47,TRUE,,2,DINNER,FALSE,FALSE
ORD10043,burger-blvd-001,CUST5433,ZOMATO,DELIVERY,2025-09-10T20:24:57,COMPLETED,CARD,SUCCESS,541.79,54.18,32,96,10.15,637.4,38,FALSE,5,6,DINNER,FALSE,FALSE
ORD10044,crust-crumble-001,CUST5262,DRIVE_THRU,TAKEAWAY,2025-09-10T19:04:42,COMPLETED,UPI,SUCCESS,856,85.6,0,141.97,0,1007.06,0,TRUE,5,2,DINNER,FALSE,FALSE
ORD10045,noodle-nation-001,CUST5384,ZOMATO,DELIVERY,2025-09-10T22:32:19,COMPLETED,CARD,SUCCESS,121.91,12.19,55,21.25,59.9,143.42,41,FALSE,3,4,DINNER,FALSE,FALSE
ORD10046,sweet-delights-002,CUST5159,DRIVE_THRU,TAKEAWAY,2025-09-10T14:43:47,CANCELLED,UPI,FAILED,309.64,30.96,0,23.3,0,364.28,0,TRUE,,3,LUNCH,FALSE,FALSE
ORD10047,sweet-delights-002,CUST5207,DRIVE_THRU,TAKEAWAY,2025-09-10T09:18:13,CANCELLED,WALLET,FAILED,395.91,39.59,0,64.8,0,465.78,0,FALSE,,3,BREAKFAST,FALSE,FALSE
ORD10048,sweet-delights-002,CUST5053,DRIVE_THRU,TAKEAWAY,2025-09-10T20:28:43,COMPLETED,CARD,SUCCESS,245.55,24.56,0,48.73,0,288.89,0,TRUE,5,4,DINNER,FALSE,FALSE
ORD10049,bean-brew-001,CUST5348,TAKEAWAY,DINE_IN,2025-09-10T08:18:32,CANCELLED,CARD,FAILED,327.39,32.74,0,27.43,0,385.17,0,TRUE,,2,BREAKFAST,FALSE,FALSE
ORD10050,sweet-delights-001,CUST5337,ZOMATO,DELIVERY,2025-09-10T09:14:51,COMPLETED,UPI,SUCCESS,224.64,22.46,32,13.75,52.76,264.28,44,FALSE,5,3,BREAKFAST,FALSE,FALSE
ORD10051,burger-blvd-001,CUST5288,ZOMATO,DELIVERY,2025-09-10T19:56:40,COMPLETED,UPI,SUCCESS,484.14,48.41,61,48.37,23.28,569.58,21,FALSE,5,4,DINNER,FALSE,FALSE
ORD10052,noodle-nation-001,CUST5391,DUNZO,DELIVERY,2025-09-10T12:14:11,COMPLETED,UPI,SUCCESS,218.3,21.83,33,30.42,92.57,256.83,44,TRUE,5,1,LUNCH,FALSE,FALSE
ORD10053,noodle-nation-001,CUST5469,DUNZO,DELIVERY,2025-09-10T12:51:29,COMPLETED,WALLET,SUCCESS,420.87,42.09,68,33.38,77.97,495.14,47,FALSE,4,6,LUNCH,FALSE,FALSE
ORD10054,burger-blvd-001,CUST5229,WEBSITE,DELIVERY,2025-09-10T17:53:58,COMPLETED,CARD,SUCCESS,609.73,60.97,77,131.32,50.51,717.33,32,FALSE,4,6,SNACK,FALSE,FALSE
ORD10055,crust-crumble-001,CUST5096,WEBSITE,DELIVERY,2025-09-10T21:40:15,COMPLETED,CASH,SUCCESS,235.06,23.51,75,16.79,34.45,276.54,49,TRUE,5,1,DINNER,FALSE,FALSE
ORD10056,sweet-delights-001,CUST5316,WEBSITE,DELIVERY,2025-09-10T09:08:09,COMPLETED,CASH,SUCCESS,211.07,21.11,75,11.29,47.34,248.32,49,FALSE,5,4,BREAKFAST,FALSE,FALSE
ORD10057,sweet-delights-001,CUST5219,WEBSITE,DELIVERY,2025-09-10T02:26:03,COMPLETED,WALLET,SUCCESS,188.27,18.83,79,27.49,72.6,221.49,45,TRUE,5,6,LATE_NIGHT,FALSE,FALSE
ORD10058,golden-spoon-001,CUST5098,DINE_IN,DINE_IN,2025-09-10T21:22:19,COMPLETED,CARD,SUCCESS,6591.26,659.13,0,886.89,0,7754.43,0,FALSE,5,5,DINNER,FALSE,FALSE
ORD10059,bean-brew-001,CUST5098,DINE_IN,DINE_IN,2025-09-10T21:14:17,COMPLETED,WALLET,SUCCESS,449.5,44.95,0,43.7,0,528.83,0,TRUE,5,4,DINNER,FALSE,FALSE
ORD10060,sweet-delights-002,CUST5468,DRIVE_THRU,TAKEAWAY,2025-09-10T12:53:29,COMPLETED,WALLET,SUCCESS,290.07,29.01,0,1.96,0,341.26,0,TRUE,4,1,LUNCH,FALSE,FALSE
ORD10061,bean-brew-001,CUST5222,DINE_IN,DINE_IN,2025-09-10T12:05:41,COMPLETED,CASH,SUCCESS,319.34,31.93,0,14.51,0,375.69,0,FALSE,5,3,LUNCH,FALSE,FALSE
ORD10062,bean-brew-001,CUST5279,DINE_IN,DINE_IN,2025-09-10T15:20:13,COMPLETED,WALLET,SUCCESS,170.43,17.04,0,32.43,0,200.51,0,TRUE,4,6,LUNCH,FALSE,FALSE
ORD10063,bean-brew-001,CUST5473,DINE_IN,DINE_IN,2025-09-10T12:48:53,COMPLETED,UPI,SUCCESS,210.27,21.03,0,24.72,0,247.37,0,TRUE,5,1,LUNCH,FALSE,FALSE
ORD10064,sweet-delights-001,CUST5245,SWIGGY,DELIVERY,2025-09-10T08:14:41,COMPLETED,CARD,SUCCESS,192.74,19.27,45,9.61,11.83,226.75,30,TRUE,4,5,BREAKFAST,FALSE,FALSE
ORD10065,sweet-delights-001,CUST5407,DRIVE_THRU,TAKEAWAY,2025-09-10T12:30:42,COMPLETED,CASH,SUCCESS,139.25,13.93,0,16.19,0,163.83,0,TRUE,5,2,LUNCH,FALSE,FALSE
ORD10066,bean-brew-001,CUST5035,TAKEAWAY,DINE_IN,2025-09-10T00:10:38,COMPLETED,CARD,SUCCESS,245.43,24.54,0,47.72,0,288.74,0,TRUE,5,1,LATE_NIGHT,FALSE,FALSE
ORD10067,sweet-delights-001,CUST5370,DINE_IN,DINE_IN,2025-09-10T07:06:37,CANCELLED,WALLET,FAILED,240.79,24.08,0,40.78,0,283.29,0,FALSE,,4,BREAKFAST,FALSE,FALSE
ORD10068,sweet-delights-001,CUST5287,DRIVE_THRU,TAKEAWAY,2025-09-10T16:45:12,COMPLETED,CASH,SUCCESS,284.47,28.45,0,7.25,0,334.67,0,TRUE,5,6,SNACK,FALSE,FALSE
ORD10069,sweet-delights-001,CUST5304,DINE_IN,DINE_IN,2025-09-10T12:50:36,COMPLETED,CASH,SUCCESS,312.78,31.28,0,33.5,0,367.98,0,TRUE,3,6,LUNCH,FALSE,FALSE
ORD10070,crust-crumble-001,CUST5490,SWIGGY,DELIVERY,2025-09-10T12:32:41,COMPLETED,WALLET,SUCCESS,533.95,53.4,61,14.09,96.47,628.18,24,FALSE,4,1,LUNCH,FALSE,FALSE
ORD10071,burger-blvd-001,CUST5479,DINE_IN,DINE_IN,2025-09-10T20:11:46,CANCELLED,WALLET,FAILED,547.25,54.72,0,110.57,0,643.82,0,FALSE,,4,DINNER,FALSE,FALSE
ORD10072,noodle-nation-001,CUST5354,DUNZO,DELIVERY,2025-09-10T13:27:52,COMPLETED,UPI,SUCCESS,320.72,32.07,50,68.29,84.77,377.31,32,FALSE,5,4,LUNCH,FALSE,FALSE
ORD10073,sweet-delights-002,CUST5274,DRIVE_THRU,TAKEAWAY,2025-09-10T08:15:48,CANCELLED,CASH,FAILED,286.57,28.66,0,47.87,0,337.14,0,TRUE,,4,BREAKFAST,FALSE,FALSE
ORD10074,crust-crumble-001,CUST5345,ZOMATO,DELIVERY,2025-09-10T20:31:54,COMPLETED,CASH,SUCCESS,555.55,55.55,43,49.28,33.25,653.58,32,TRUE,3,5,DINNER,FALSE,FALSE
ORD10075,sweet-delights-001,CUST5128,ZOMATO,DELIVERY,2025-09-10T08:33:12,COMPLETED,WALLET,SUCCESS,479.19,47.92,61,66.51,31.63,563.75,46,FALSE,4,1,BREAKFAST,FALSE,FALSE
ORD10076,sweet-delights-001,CUST5095,DINE_IN,DINE_IN,2025-09-10T13:50:01,COMPLETED,CARD,SUCCESS,228.4,22.84,0,23.09,0,268.71,0,TRUE,5,1,LUNCH,FALSE,FALSE
ORD10077,crust-crumble-001,CUST5277,WEBSITE,DELIVERY,2025-09-10T19:42:37,COMPLETED,CASH,SUCCESS,746.38,74.64,63,64.14,99.7,878.1,37,FALSE,5,3,DINNER,FALSE,FALSE
ORD10078,sweet-delights-002,CUST5143,ZOMATO,DELIVERY,2025-09-10T10:17:19,COMPLETED,CARD,SUCCESS,465.94,46.59,76,22.43,20.76,548.16,27,TRUE,4,6,BREAKFAST,FALSE,FALSE
ORD10079,sweet-delights-002,CUST5217,DRIVE_THRU,TAKEAWAY,2025-09-10T01:47:30,COMPLETED,UPI,SUCCESS,273.29,27.33,0,40.77,0,321.51,0,TRUE,5,5,LATE_NIGHT,FALSE,FALSE
ORD10080,crust-crumble-001,CUST5288,ZOMATO,DELIVERY,2025-09-10T13:18:14,COMPLETED,UPI,SUCCESS,828.24,82.82,30,146.6,21.39,974.4,18,TRUE,5,5,LUNCH,FALSE,FALSE
ORD10081,noodle-nation-001,CUST5289,ZOMATO,DELIVERY,2025-09-10T13:44:08,COMPLETED,WALLET,SUCCESS,536.74,53.67,30,77.03,52.25,631.46,36,TRUE,4,2,LUNCH,FALSE,FALSE
ORD10082,golden-spoon-001,CUST5441,DINE_IN,DINE_IN,2025-09-10T19:03:16,COMPLETED,WALLET,SUCCESS,8449.41,844.94,0,1736.6,0,9940.49,0,FALSE,5,5,DINNER,FALSE,FALSE
ORD10083,noodle-nation-001,CUST5257,DUNZO,DELIVERY,2025-09-10T19:04:36,COMPLETED,CASH,SUCCESS,536.11,53.61,39,20,60.66,630.71,20,TRUE,3,3,DINNER,FALSE,FALSE
ORD10084,golden-spoon-001,CUST5395,DINE_IN,DINE_IN,2025-09-10T20:07:35,CANCELLED,CARD,FAILED,5852.48,585.25,0,872.21,0,6885.27,0,FALSE,,2,DINNER,FALSE,FALSE
ORD10085,bean-brew-001,CUST5426,DINE_IN,DINE_IN,2025-09-10T15:28:58,CANCELLED,CASH,FAILED,320.65,32.07,0,79.36,0,377.24,0,TRUE,,5,LUNCH,FALSE,FALSE
ORD10086,sweet-delights-001,CUST5064,ZOMATO,DELIVERY,2025-09-10T19:39:47,COMPLETED,CARD,SUCCESS,350.82,35.08,46,57.92,24.14,412.73,50,TRUE,5,2,DINNER,FALSE,FALSE
ORD10087,sweet-delights-002,CUST5301,WEBSITE,DELIVERY,2025-09-10T09:10:00,CANCELLED,CASH,FAILED,207.43,20.74,60,15.1,30.83,244.03,44,TRUE,,2,BREAKFAST,FALSE,FALSE
ORD10088,sweet-delights-002,CUST5241,DRIVE_THRU,TAKEAWAY,2025-09-10T03:43:14,COMPLETED,CARD,SUCCESS,226.16,22.62,0,24.04,0,266.07,0,TRUE,5,1,LATE_NIGHT,FALSE,FALSE
ORD10089,golden-spoon-001,CUST5417,RESERVATION,DINE_IN,2025-09-10T19:58:17,COMPLETED,CASH,SUCCESS,8961.38,896.14,0,133.61,0,10542.8,0,TRUE,4,4,DINNER,FALSE,FALSE
ORD10090,bean-brew-001,CUST5113,TAKEAWAY,DINE_IN,2025-09-10T19:28:07,COMPLETED,CASH,SUCCESS,256.64,25.66,0,44.9,0,301.93,0,FALSE,5,5,DINNER,FALSE,FALSE
ORD10091,bean-brew-001,CUST5163,DINE_IN,DINE_IN,2025-09-10T03:28:05,COMPLETED,CASH,SUCCESS,343.26,34.33,0,63.03,0,403.84,0,TRUE,4,1,LATE_NIGHT,FALSE,FALSE
ORD10092,noodle-nation-001,CUST5226,DUNZO,DELIVERY,2025-09-10T15:05:14,CANCELLED,CASH,FAILED,329.96,33,31,82.46,70.51,388.19,17,TRUE,,1,LUNCH,FALSE,FALSE
ORD10093,noodle-nation-001,CUST5095,ZOMATO,DELIVERY,2025-09-10T19:30:33,COMPLETED,WALLET,SUCCESS,381.04,38.1,41,94.97,49.23,448.29,20,FALSE,4,6,DINNER,FALSE,FALSE
ORD10094,crust-crumble-001,CUST5267,DINE_IN,DINE_IN,2025-09-10T14:22:26,COMPLETED,CASH,SUCCESS,416.89,41.69,0,89.39,0,490.46,0,FALSE,5,5,LUNCH,FALSE,FALSE
ORD10095,crust-crumble-001,CUST5368,WEBSITE,DELIVERY,2025-09-10T20:44:31,COMPLETED,CASH,SUCCESS,524.46,52.45,32,59.64,38.31,617.02,22,FALSE,5,1,DINNER,FALSE,FALSE
ORD10096,sweet-delights-001,CUST5186,DRIVE_THRU,TAKEAWAY,2025-09-10T12:55:32,COMPLETED,CARD,SUCCESS,160.62,16.06,0,16.59,0,188.96,0,TRUE,3,4,LUNCH,FALSE,FALSE
ORD10097,sweet-delights-002,CUST5383,WEBSITE,DELIVERY,2025-09-10T01:39:48,COMPLETED,CASH,SUCCESS,330.56,33.06,43,22.07,21.79,388.9,43,FALSE,5,2,LATE_NIGHT,FALSE,FALSE
ORD10098,noodle-nation-001,CUST5372,DUNZO,DELIVERY,2025-09-10T19:07:01,COMPLETED,WALLET,SUCCESS,420.43,42.04,75,16.65,59.58,494.62,20,TRUE,3,4,DINNER,FALSE,FALSE
ORD10099,sweet-delights-001,CUST5150,WEBSITE,DELIVERY,2025-09-10T12:53:58,COMPLETED,CASH,SUCCESS,415.63,41.56,71,86.47,54.85,488.97,47,TRUE,5,5,LUNCH,FALSE,FALSE
ORD10100,bean-brew-001,CUST5185,DINE_IN,DINE_IN,2025-09-10T21:26:53,COMPLETED,CARD,SUCCESS,491.72,49.17,0,56.15,0,578.5,0,FALSE,3,2,DINNER,FALSE,FALSE
ORD10101,burger-blvd-001,CUST5145,DRIVE_THRU,TAKEAWAY,2025-09-10T13:12:58,COMPLETED,CASH,SUCCESS,265.97,26.6,0,57.45,0,312.91,0,FALSE,5,1,LUNCH,FALSE,FALSE
ORD10102,golden-spoon-001,CUST5491,DINE_IN,DINE_IN,2025-09-10T20:21:59,COMPLETED,CASH,SUCCESS,7301.43,730.14,0,516.28,0,8589.91,0,FALSE,5,6,DINNER,FALSE,FALSE
ORD10103,sweet-delights-002,CUST5433,DRIVE_THRU,TAKEAWAY,2025-09-10T08:55:09,COMPLETED,WALLET,SUCCESS,253.3,25.33,0,21.86,0,298,0,FALSE,5,2,BREAKFAST,FALSE,FALSE
ORD10104,sweet-delights-001,CUST5164,ZOMATO,DELIVERY,2025-09-10T08:59:20,CANCELLED,UPI,FAILED,318.29,31.83,54,18.59,79.8,374.46,35,FALSE,,6,BREAKFAST,FALSE,FALSE
ORD10105,golden-spoon-001,CUST5499,DINE_IN,DINE_IN,2025-09-10T22:45:58,COMPLETED,CARD,SUCCESS,1788.26,178.83,0,441.88,0,2103.83,0,FALSE,4,1,DINNER,FALSE,FALSE
ORD10106,burger-blvd-001,CUST5291,DRIVE_THRU,TAKEAWAY,2025-09-10T17:02:08,COMPLETED,WALLET,SUCCESS,153.94,15.39,0,33.47,0,181.1,0,TRUE,4,3,SNACK,FALSE,FALSE
ORD10107,bean-brew-001,CUST5345,DINE_IN,DINE_IN,2025-09-10T20:33:58,COMPLETED,CARD,SUCCESS,116.63,11.66,0,11.95,0,137.22,0,TRUE,4,6,DINNER,FALSE,FALSE
ORD10108,crust-crumble-001,CUST5140,DINE_IN,DINE_IN,2025-09-10T13:30:50,CANCELLED,UPI,FAILED,776.91,77.69,0,134.54,0,914.01,0,TRUE,,2,LUNCH,FALSE,FALSE
ORD10109,burger-blvd-001,CUST5000,WEBSITE,DELIVERY,2025-09-10T13:54:43,COMPLETED,UPI,SUCCESS,330.42,33.04,70,59.37,78.35,388.73,19,TRUE,5,4,LUNCH,FALSE,FALSE
ORD10110,crust-crumble-001,CUST5190,ZOMATO,DELIVERY,2025-09-10T21:40:43,COMPLETED,UPI,SUCCESS,480.18,48.02,57,117.45,78.43,564.92,43,TRUE,5,1,DINNER,FALSE,FALSE
ORD10111,sweet-delights-001,CUST5228,SWIGGY,DELIVERY,2025-09-10T20:44:19,COMPLETED,WALLET,SUCCESS,416.46,41.65,80,5.84,42.26,489.96,24,TRUE,4,3,DINNER,FALSE,FALSE
ORD10112,burger-blvd-001,CUST5401,ZOMATO,DELIVERY,2025-09-11T21:33:26,COMPLETED,CARD,SUCCESS,388.42,38.84,41,7.67,88.38,456.96,46,TRUE,4,1,DINNER,FALSE,FALSE
ORD10113,noodle-nation-001,CUST5373,ZOMATO,DELIVERY,2025-09-11T19:14:29,COMPLETED,WALLET,SUCCESS,798.89,79.89,46,133.18,90.9,939.87,33,TRUE,4,1,DINNER,FALSE,FALSE
ORD10114,crust-crumble-001,CUST5329,DRIVE_THRU,TAKEAWAY,2025-09-11T21:04:28,COMPLETED,WALLET,SUCCESS,493.42,49.34,0,78.82,0,580.49,0,TRUE,5,6,DINNER,FALSE,FALSE
ORD10115,crust-crumble-001,CUST5347,ZOMATO,DELIVERY,2025-09-11T13:29:54,COMPLETED,CASH,SUCCESS,263.02,26.3,60,7.01,44.32,309.43,33,TRUE,5,2,LUNCH,FALSE,FALSE
ORD10116,bean-brew-001,CUST5027,DINE_IN,DINE_IN,2025-09-11T10:01:53,COMPLETED,UPI,SUCCESS,377.47,37.75,0,0.76,0,444.08,0,FALSE,3,1,BREAKFAST,FALSE,FALSE
ORD10117,sweet-delights-002,CUST5200,ZOMATO,DELIVERY,2025-09-11T10:53:57,CANCELLED,CASH,FAILED,247.02,24.7,52,13.52,27.11,290.61,23,TRUE,,1,BREAKFAST,FALSE,FALSE
ORD10118,noodle-nation-001,CUST5460,SWIGGY,DELIVERY,2025-09-11T13:57:40,COMPLETED,CARD,SUCCESS,333.69,33.37,80,36.77,62.16,392.58,20,TRUE,5,5,LUNCH,FALSE,FALSE
ORD10119,sweet-delights-002,CUST5408,ZOMATO,DELIVERY,2025-09-11T08:20:47,COMPLETED,CASH,SUCCESS,469.34,46.93,38,92.29,88.88,552.16,48,TRUE,5,6,BREAKFAST,FALSE,FALSE
ORD10120,crust-crumble-001,CUST5364,WEBSITE,DELIVERY,2025-09-11T20:53:10,COMPLETED,WALLET,SUCCESS,280.6,28.06,77,61.06,82.38,330.12,19,TRUE,4,1,DINNER,FALSE,FALSE
