payment_id,order_id,restaurant_id,transaction_id,payment_method,payment_gateway,amount,gateway_fee,gst_on_fee,net_amount,status,settlement_date,settlement_status,refund_amount,fraud_score,currency,customer_payment_mode
PAY50035,ORD10035,sweet-delights-001,TXN_281164,CARD,PAYTM,342.27,8.56,1.54,332.17,SUCCESS,12-09-2025,PENDING,0,0.19,INR,PAYTM
PAY50036,ORD10036,crust-crumble-001,TXN_712959,CASH,PAYTM,869.67,21.74,3.91,844.01,SUCCESS,12-09-2025,SETTLED,0,0.07,INR,PAYTM
PAY50037,ORD10037,sweet-delights-002,TXN_813601,CASH,MANUAL,609.05,15.23,2.74,591.08,SUCCESS,12-09-2025,SETTLED,0,0.02,INR,CASH
PAY50038,ORD10038,bean-brew-001,TXN_114239,WALLET,STRIPE,497.81,12.45,2.24,483.12,SUCCESS,12-09-2025,SETTLED,0,0.08,INR,PHONEPE
PAY50039,ORD10039,bean-brew-001,TXN_582222,CARD,STRIPE,496.17,12.4,2.23,481.53,SUCCESS,12-09-2025,SETTLED,0,0.24,INR,CASH
PAY50040,ORD10040,sweet-delights-002,TXN_268585,CASH,RAZORPAY,303.27,7.58,1.36,294.32,SUCCESS,12-09-2025,PENDING,0,0.22,INR,DEBIT_CARD
PAY50041,ORD10041,burger-blvd-001,TXN_461800,CASH,RAZORPAY,436.18,10.9,1.96,423.31,SUCCESS,12-09-2025,SETTLED,0,0.25,INR,DEBIT_CARD
PAY50043,ORD10043,burger-blvd-001,TXN_674129,CARD,MANUAL,637.4,15.94,2.87,618.6,SUCCESS,12-09-2025,PENDING,0,0.14,INR,CASH
PAY50044,ORD10044,crust-crumble-001,TXN_301548,UPI,STRIPE,1007.06,25.18,4.53,977.35,SUCCESS,12-09-2025,SETTLED,0,0.11,INR,DEBIT_CARD
PAY50045,ORD10045,noodle-nation-001,TXN_925506,CARD,STRIPE,143.42,3.59,0.65,139.19,SUCCESS,12-09-2025,SETTLED,0,0.28,INR,CREDIT_CARD
PAY50048,ORD10048,sweet-delights-002,TXN_988482,CARD,PAYTM,288.89,7.22,1.3,280.37,SUCCESS,12-09-2025,PENDING,0,0.09,INR,CASH
PAY50050,ORD10050,sweet-delights-001,TXN_433811,UPI,MANUAL,264.28,6.61,1.19,256.48,SUCCESS,12-09-2025,PENDING,0,0.09,INR,PAYTM
PAY50051,ORD10051,burger-blvd-001,TXN_979849,UPI,PAYTM,569.58,14.24,2.56,552.78,SUCCESS,12-09-2025,SETTLED,0,0.24,INR,GPAY
PAY50052,ORD10052,noodle-nation-001,TXN_397021,UPI,MANUAL,256.83,6.42,1.16,249.25,SUCCESS,12-09-2025,PENDING,0,0.01,INR,CASH
PAY50053,ORD10053,noodle-nation-001,TXN_100114,WALLET,RAZORPAY,495.14,12.38,2.23,480.53,SUCCESS,12-09-2025,PENDING,0,0.27,INR,DEBIT_CARD
PAY50054,ORD10054,burger-blvd-001,TXN_862085,CARD,MANUAL,717.33,17.93,3.23,696.17,SUCCESS,12-09-2025,PENDING,0,0.02,INR,DEBIT_CARD
PAY50055,ORD10055,crust-crumble-001,TXN_421701,CASH,RAZORPAY,276.54,6.91,1.24,268.38,SUCCESS,12-09-2025,PENDING,0,0.03,INR,DEBIT_CARD
PAY50056,ORD10056,sweet-delights-001,TXN_879554,CASH,PAYTM,248.32,6.21,1.12,240.99,SUCCESS,12-09-2025,PENDING,0,0.02,INR,GPAY
PAY50057,ORD10057,sweet-delights-001,TXN_147579,WALLET,RAZORPAY,221.49,5.54,1,214.96,SUCCESS,12-09-2025,PENDING,0,0.11,INR,GPAY
PAY50058,ORD10058,golden-spoon-001,TXN_908535,CARD,MANUAL,7754.43,193.86,34.89,7525.67,SUCCESS,12-09-2025,PENDING,0,0.19,INR,CASH
PAY50059,ORD10059,bean-brew-001,TXN_649088,WALLET,STRIPE,528.83,13.22,2.38,513.23,SUCCESS,12-09-2025,PENDING,0,0.29,INR,GPAY
PAY50060,ORD10060,sweet-delights-002,TXN_375212,WALLET,RAZORPAY,341.26,8.53,1.54,331.19,SUCCESS,12-09-2025,PENDING,0,0.09,INR,CASH
PAY50061,ORD10061,bean-brew-001,TXN_363834,CASH,STRIPE,375.69,9.39,1.69,364.61,SUCCESS,12-09-2025,PENDING,0,0.26,INR,DEBIT_CARD
PAY50062,ORD10062,bean-brew-001,TXN_262408,WALLET,RAZORPAY,200.51,5.01,0.9,194.59,SUCCESS,12-09-2025,PENDING,0,0.09,INR,CASH
PAY50063,ORD10063,bean-brew-001,TXN_307188,UPI,STRIPE,247.37,6.18,1.11,240.07,SUCCESS,12-09-2025,SETTLED,0,0.22,INR,DEBIT_CARD
PAY50064,ORD10064,sweet-delights-001,TXN_979357,CARD,MANUAL,226.75,5.67,1.02,220.06,SUCCESS,12-09-2025,SETTLED,0,0.02,INR,PAYTM
PAY50065,ORD10065,sweet-delights-001,TXN_294371,CASH,MANUAL,163.83,4.1,0.74,159,SUCCESS,12-09-2025,SETTLED,0,0.19,INR,PAYTM
PAY50066,ORD10066,bean-brew-001,TXN_654223,CARD,STRIPE,288.74,7.22,1.3,280.22,SUCCESS,12-09-2025,SETTLED,0,0.13,INR,DEBIT_CARD
PAY50068,ORD10068,sweet-delights-001,TXN_867083,CASH,STRIPE,334.67,8.37,1.51,324.8,SUCCESS,12-09-2025,PENDING,0,0.03,INR,PAYTM
PAY50069,ORD10069,sweet-delights-001,TXN_702433,CASH,STRIPE,367.98,9.2,1.66,357.12,SUCCESS,12-09-2025,SETTLED,0,0.22,INR,PHONEPE
PAY50070,ORD10070,crust-crumble-001,TXN_779026,WALLET,PAYTM,628.18,15.7,2.83,609.65,SUCCESS,12-09-2025,SETTLED,0,0.3,INR,GPAY
PAY50072,ORD10072,noodle-nation-001,TXN_879242,UPI,RAZORPAY,377.31,9.43,1.7,366.18,SUCCESS,12-09-2025,SETTLED,0,0.28,INR,GPAY
PAY50074,ORD10074,crust-crumble-001,TXN_971982,CASH,STRIPE,653.58,16.34,2.94,634.3,SUCCESS,12-09-2025,PENDING,0,0.24,INR,GPAY
PAY50075,ORD10075,sweet-delights-001,TXN_736868,WALLET,RAZORPAY,563.75,14.09,2.54,547.12,SUCCESS,12-09-2025,PENDING,0,0.15,INR,DEBIT_CARD
PAY50076,ORD10076,sweet-delights-001,TXN_798271,CARD,PAYTM,268.71,6.72,1.21,260.78,SUCCESS,12-09-2025,SETTLED,0,0.02,INR,DEBIT_CARD
PAY50077,ORD10077,crust-crumble-001,TXN_693990,CASH,STRIPE,878.1,21.95,3.95,852.2,SUCCESS,12-09-2025,PENDING,0,0.04,INR,CASH
PAY50078,ORD10078,sweet-delights-002,TXN_664833,CARD,MANUAL,548.16,13.7,2.47,531.99,SUCCESS,12-09-2025,PENDING,0,0.05,INR,PAYTM
PAY50079,ORD10079,sweet-delights-002,TXN_365662,UPI,STRIPE,321.51,8.04,1.45,312.03,SUCCESS,12-09-2025,SETTLED,0,0.13,INR,DEBIT_CARD
PAY50080,ORD10080,crust-crumble-001,TXN_606356,UPI,RAZORPAY,974.4,24.36,4.38,945.66,SUCCESS,12-09-2025,SETTLED,0,0.04,INR,PAYTM
PAY50081,ORD10081,noodle-nation-001,TXN_370386,WALLET,MANUAL,631.46,15.79,2.84,612.83,SUCCESS,12-09-2025,PENDING,0,0.15,INR,PHONEPE
PAY50082,ORD10082,golden-spoon-001,TXN_195338,WALLET,STRIPE,9940.49,248.51,44.73,9647.25,SUCCESS,12-09-2025,PENDING,0,0.13,INR,CREDIT_CARD
PAY50083,ORD10083,noodle-nation-001,TXN_641427,CASH,RAZORPAY,630.71,15.77,2.84,612.1,SUCCESS,12-09-2025,PENDING,0,0.17,INR,PHONEPE
PAY50086,ORD10086,sweet-delights-001,TXN_469281,CARD,RAZORPAY,412.73,10.32,1.86,400.55,SUCCESS,12-09-2025,SETTLED,0,0.28,INR,CASH
PAY50088,ORD10088,sweet-delights-002,TXN_649174,CARD,STRIPE,266.07,6.65,1.2,258.22,SUCCESS,12-09-2025,SETTLED,0,0.24,INR,PAYTM
PAY50089,ORD10089,golden-spoon-001,TXN_338489,CASH,MANUAL,10542.8,263.57,47.44,10231.79,SUCCESS,12-09-2025,SETTLED,0,0.19,INR,DEBIT_CARD
PAY50090,ORD10090,bean-brew-001,TXN_605294,CASH,RAZORPAY,301.93,7.55,1.36,293.02,SUCCESS,12-09-2025,PENDING,0,0.01,INR,PHONEPE
PAY50091,ORD10091,bean-brew-001,TXN_807858,CASH,MANUAL,403.84,10.1,1.82,391.93,SUCCESS,12-09-2025,PENDING,0,0.15,INR,CREDIT_CARD
PAY50093,ORD10093,noodle-nation-001,TXN_724528,WALLET,MANUAL,448.29,11.21,2.02,435.07,SUCCESS,12-09-2025,SETTLED,0,0.01,INR,PHONEPE
PAY50094,ORD10094,crust-crumble-001,TXN_808615,CASH,STRIPE,490.46,12.26,2.21,475.99,SUCCESS,12-09-2025,PENDING,0,0.28,INR,GPAY
PAY50095,ORD10095,crust-crumble-001,TXN_668245,CASH,STRIPE,617.02,15.43,2.78,598.82,SUCCESS,12-09-2025,SETTLED,0,0.14,INR,PHONEPE
PAY50096,ORD10096,sweet-delights-001,TXN_452321,CARD,STRIPE,188.96,4.72,0.85,183.39,SUCCESS,12-09-2025,PENDING,0,0.28,INR,PHONEPE
PAY50097,ORD10097,sweet-delights-002,TXN_896573,CASH,RAZORPAY,388.9,9.72,1.75,377.43,SUCCESS,12-09-2025,PENDING,0,0.15,INR,CREDIT_CARD
PAY50098,ORD10098,noodle-nation-001,TXN_370420,WALLET,STRIPE,494.62,12.37,2.23,480.03,SUCCESS,12-09-2025,SETTLED,0,0.29,INR,GPAY
PAY50099,ORD10099,sweet-delights-001,TXN_855991,CASH,PAYTM,488.97,12.22,2.2,474.55,SUCCESS,12-09-2025,SETTLED,0,0.12,INR,DEBIT_CARD
PAY50100,ORD10100,bean-brew-001,TXN_628160,CARD,MANUAL,578.5,14.46,2.6,561.43,SUCCESS,12-09-2025,SETTLED,0,0.15,INR,GPAY
PAY50101,ORD10101,burger-blvd-001,TXN_170158,CASH,MANUAL,312.91,7.82,1.41,303.68,SUCCESS,12-09-2025,SETTLED,0,0.2,INR,CASH
PAY50102,ORD10102,golden-spoon-001,TXN_330655,CASH,MANUAL,8589.91,214.75,38.65,8336.51,SUCCESS,12-09-2025,SETTLED,0,0.1,INR,CASH
PAY50103,ORD10103,sweet-delights-002,TXN_471110,WALLET,RAZORPAY,298,7.45,1.34,289.21,SUCCESS,12-09-2025,PENDING,0,0.15,INR,PAYTM
PAY50105,ORD10105,golden-spoon-001,TXN_663119,CARD,MANUAL,2103.83,52.6,9.47,2041.77,SUCCESS,12-09-2025,PENDING,0,0.22,INR,CREDIT_CARD
PAY50106,ORD10106,burger-blvd-001,TXN_306075,WALLET,STRIPE,181.1,4.53,0.81,175.76,SUCCESS,12-09-2025,PENDING,0,0,INR,GPAY
PAY50107,ORD10107,bean-brew-001,TXN_215642,CARD,PAYTM,137.22,3.43,0.62,133.17,SUCCESS,12-09-2025,SETTLED,0,0.21,INR,PHONEPE
PAY50109,ORD10109,burger-blvd-001,TXN_959113,UPI,MANUAL,388.73,9.72,1.75,377.26,SUCCESS,12-09-2025,PENDING,0,0.25,INR,PHONEPE
PAY50110,ORD10110,crust-crumble-001,TXN_290983,UPI,STRIPE,564.92,14.12,2.54,548.25,SUCCESS,12-09-2025,SETTLED,0,0.18,INR,PAYTM
PAY50111,ORD10111,sweet-delights-001,TXN_191418,WALLET,PAYTM,489.96,12.25,2.2,475.51,SUCCESS,12-09-2025,SETTLED,0,0.13,INR,CASH
PAY50112,ORD10112,burger-blvd-001,TXN_461529,CARD,RAZORPAY,456.96,11.42,2.06,443.48,SUCCESS,13-09-2025,SETTLED,0,0.25,INR,PAYTM
PAY50113,ORD10113,noodle-nation-001,TXN_994522,WALLET,RAZORPAY,939.87,23.5,4.23,912.14,SUCCESS,13-09-2025,PENDING,0,0.03,INR,CREDIT_CARD
PAY50114,ORD10114,crust-crumble-001,TXN_348768,WALLET,RAZORPAY,580.49,14.51,2.61,563.37,SUCCESS,13-09-2025,SETTLED,0,0.15,INR,CASH
PAY50115,ORD10115,crust-crumble-001,TXN_245415,CASH,STRIPE,309.43,7.74,1.39,300.3,SUCCESS,13-09-2025,SETTLED,0,0.28,INR,CREDIT_CARD
PAY50116,ORD10116,bean-brew-001,TXN_801127,UPI,PAYTM,444.08,11.1,2,430.98,SUCCESS,13-09-2025,PENDING,0,0.16,INR,PAYTM
PAY50118,ORD10118,noodle-nation-001,TXN_341757,CARD,RAZORPAY,392.58,9.81,1.77,381,SUCCESS,13-09-2025,PENDING,0,0.19,INR,DEBIT_CARD
PAY50119,ORD10119,sweet-delights-002,TXN_287196,CASH,RAZORPAY,552.16,13.8,2.48,535.87,SUCCESS,13-09-2025,PENDING,0,0.04,INR,CREDIT_CARD
PAY50120,ORD10120,crust-crumble-001,TXN_636608,WALLET,RAZORPAY,330.12,8.25,1.49,320.38,SUCCESS,13-09-2025,PENDING,0,0.26,INR,CASH
PAY50121,ORD10121,golden-spoon-001,TXN_660216,WALLET,STRIPE,7385.6,184.64,33.24,7167.72,SUCCESS,13-09-2025,SETTLED,0,0.28,INR,CREDIT_CARD
PAY50122,ORD10122,sweet-delights-001,TXN_948080,WALLET,RAZORPAY,452.85,11.32,2.04,439.49,SUCCESS,13-09-2025,PENDING,0,0.06,INR,GPAY
PAY50124,ORD10124,noodle-nation-001,TXN_210953,UPI,STRIPE,403.12,10.08,1.81,391.23,SUCCESS,13-09-2025,PENDING,0,0.14,INR,PAYTM
PAY50125,ORD10125,sweet-delights-002,TXN_754382,CASH,STRIPE,704,17.6,3.17,683.23,SUCCESS,13-09-2025,PENDING,0,0.07,INR,GPAY
PAY50126,ORD10126,bean-brew-001,TXN_654253,WALLET,STRIPE,422.13,10.55,1.9,409.68,SUCCESS,13-09-2025,PENDING,0,0.03,INR,PAYTM
PAY50127,ORD10127,noodle-nation-001,TXN_886356,CASH,STRIPE,449.98,11.25,2.02,436.71,SUCCESS,13-09-2025,SETTLED,0,0.16,INR,CASH
PAY50128,ORD10128,noodle-nation-001,TXN_128597,WALLET,RAZORPAY,361.31,9.03,1.63,350.65,SUCCESS,13-09-2025,PENDING,0,0.28,INR,PAYTM
PAY50129,ORD10129,burger-blvd-001,TXN_108586,CARD,RAZORPAY,287.85,7.2,1.3,279.36,SUCCESS,13-09-2025,SETTLED,0,0.08,INR,DEBIT_CARD
PAY50130,ORD10130,sweet-delights-001,TXN_204637,UPI,MANUAL,457.14,11.43,2.06,443.65,SUCCESS,13-09-2025,SETTLED,0,0.11,INR,GPAY
PAY50131,ORD10131,sweet-delights-002,TXN_957319,UPI,PAYTM,304.47,7.61,1.37,295.49,SUCCESS,13-09-2025,SETTLED,0,0.06,INR,DEBIT_CARD
PAY50133,ORD10133,bean-brew-001,TXN_888511,UPI,STRIPE,456.33,11.41,2.05,442.87,SUCCESS,13-09-2025,PENDING,0,0.08,INR,CREDIT_CARD
PAY50134,ORD10134,burger-blvd-001,TXN_886569,UPI,STRIPE,433.62,10.84,1.95,420.83,SUCCESS,13-09-2025,PENDING,0,0,INR,CASH
PAY50135,ORD10135,sweet-delights-001,TXN_895729,CARD,PAYTM,424.63,10.62,1.91,412.1,SUCCESS,13-09-2025,PENDING,0,0.04,INR,CREDIT_CARD
PAY50136,ORD10136,bean-brew-001,TXN_697710,WALLET,MANUAL,520.36,13.01,2.34,505.01,SUCCESS,13-09-2025,SETTLED,0,0.01,INR,DEBIT_CARD
PAY50137,ORD10137,burger-blvd-001,TXN_270978,CARD,RAZORPAY,395.07,9.88,1.78,383.42,SUCCESS,13-09-2025,PENDING,0,0.12,INR,GPAY
PAY50138,ORD10138,bean-brew-001,TXN_334222,UPI,PAYTM,185.41,4.64,0.83,179.94,SUCCESS,13-09-2025,PENDING,0,0.01,INR,CASH
PAY50139,ORD10139,noodle-nation-001,TXN_679628,UPI,STRIPE,629.24,15.73,2.83,610.68,SUCCESS,13-09-2025,PENDING,0,0.02,INR,PAYTM
PAY50140,ORD10140,noodle-nation-001,TXN_354216,CASH,RAZORPAY,263.18,6.58,1.18,255.42,SUCCESS,13-09-2025,PENDING,0,0.07,INR,GPAY
PAY50141,ORD10141,bean-brew-001,TXN_689578,CASH,STRIPE,289.61,7.24,1.3,281.07,SUCCESS,13-09-2025,SETTLED,0,0.07,INR,CREDIT_CARD
PAY50142,ORD10142,burger-blvd-001,TXN_804536,CASH,PAYTM,475.44,11.89,2.14,461.41,SUCCESS,13-09-2025,PENDING,0,0.18,INR,CASH
PAY50143,ORD10143,crust-crumble-001,TXN_968164,UPI,RAZORPAY,682.59,17.06,3.07,662.45,SUCCESS,13-09-2025,SETTLED,0,0.07,INR,CASH
PAY50144,ORD10144,crust-crumble-001,TXN_367873,CARD,MANUAL,436.26,10.91,1.96,423.39,SUCCESS,13-09-2025,PENDING,0,0.09,INR,GPAY
PAY50145,ORD10145,sweet-delights-002,TXN_468551,CARD,MANUAL,371.38,9.28,1.67,360.42,SUCCESS,13-09-2025,SETTLED,0,0.23,INR,PAYTM
PAY50146,ORD10146,sweet-delights-001,TXN_313882,UPI,RAZORPAY,354.28,8.86,1.59,343.83,SUCCESS,13-09-2025,PENDING,0,0.04,INR,PHONEPE
PAY50147,ORD10147,golden-spoon-001,TXN_926642,WALLET,PAYTM,7999.05,199.98,36,7763.08,SUCCESS,13-09-2025,SETTLED,0,0.1,INR,PAYTM
PAY50148,ORD10148,sweet-delights-002,TXN_572155,UPI,MANUAL,387.35,9.68,1.74,375.92,SUCCESS,13-09-2025,SETTLED,0,0.11,INR,GPAY
PAY50149,ORD10149,crust-crumble-001,TXN_666031,CASH,MANUAL,847.58,21.19,3.81,822.58,SUCCESS,13-09-2025,SETTLED,0,0.19,INR,DEBIT_CARD
PAY50150,ORD10150,burger-blvd-001,TXN_189693,CARD,MANUAL,195.08,4.88,0.88,189.33,SUCCESS,13-09-2025,PENDING,0,0.02,INR,CREDIT_CARD
PAY50151,ORD10151,sweet-delights-001,TXN_778896,CARD,MANUAL,511.17,12.78,2.3,496.09,SUCCESS,13-09-2025,SETTLED,0,0.13,INR,CASH
PAY50152,ORD10152,noodle-nation-001,TXN_355073,CASH,STRIPE,203.85,5.1,0.92,197.84,SUCCESS,13-09-2025,PENDING,0,0.26,INR,PAYTM
PAY50153,ORD10153,sweet-delights-002,TXN_249403,CASH,RAZORPAY,244.93,6.12,1.1,237.7,SUCCESS,13-09-2025,SETTLED,0,0.05,INR,PHONEPE
PAY50154,ORD10154,bean-brew-001,TXN_539333,UPI,STRIPE,184.06,4.6,0.83,178.63,SUCCESS,13-09-2025,SETTLED,0,0.13,INR,PAYTM
PAY50155,ORD10155,sweet-delights-002,TXN_939828,CASH,PAYTM,271.92,6.8,1.22,263.9,SUCCESS,13-09-2025,PENDING,0,0.25,INR,CASH
PAY50156,ORD10156,sweet-delights-001,TXN_353632,CASH,MANUAL,291.54,7.29,1.31,282.94,SUCCESS,13-09-2025,PENDING,0,0.16,INR,PHONEPE
PAY50157,ORD10157,sweet-delights-002,TXN_129590,CARD,RAZORPAY,382.45,9.56,1.72,371.17,SUCCESS,13-09-2025,SETTLED,0,0.05,INR,PAYTM
PAY50158,ORD10158,noodle-nation-001,TXN_253745,CASH,STRIPE,510.2,12.76,2.3,495.15,SUCCESS,13-09-2025,PENDING,0,0.05,INR,DEBIT_CARD
PAY50159,ORD10159,sweet-delights-002,TXN_246489,UPI,STRIPE,410.11,10.25,1.85,398.01,SUCCESS,13-09-2025,SETTLED,0,0.08,INR,PAYTM
PAY50160,ORD10160,sweet-delights-001,TXN_110841,UPI,RAZORPAY,232.69,5.82,1.05,225.83,SUCCESS,13-09-2025,PENDING,0,0.16,INR,CASH
PAY50161,ORD10161,bean-brew-001,TXN_654147,CARD,STRIPE,258.41,6.46,1.16,250.79,SUCCESS,13-09-2025,PENDING,0,0.26,INR,PAYTM
PAY50162,ORD10162,bean-brew-001,TXN_359097,CASH,RAZORPAY,133.41,3.34,0.6,129.47,SUCCESS,13-09-2025,PENDING,0,0.3,INR,GPAY
PAY50163,ORD10163,sweet-delights-002,TXN_227338,CARD,RAZORPAY,342.07,8.55,1.54,331.98,SUCCESS,13-09-2025,PENDING,0,0.08,INR,GPAY
PAY50164,ORD10164,bean-brew-001,TXN_678209,UPI,PAYTM,204.68,5.12,0.92,198.64,SUCCESS,13-09-2025,PENDING,0,0.3,INR,CASH
PAY50165,ORD10165,sweet-delights-001,TXN_623193,CARD,MANUAL,470.76,11.77,2.12,456.87,SUCCESS,13-09-2025,SETTLED,0,0.3,INR,DEBIT_CARD
PAY50166,ORD10166,noodle-nation-001,TXN_145796,WALLET,PAYTM,407.51,10.19,1.83,395.49,SUCCESS,13-09-2025,SETTLED,0,0.04,INR,GPAY
PAY50167,ORD10167,bean-brew-001,TXN_956620,UPI,STRIPE,419.25,10.48,1.89,406.88,SUCCESS,13-09-2025,SETTLED,0,0.25,INR,PAYTM
PAY50168,ORD10168,sweet-delights-001,TXN_113030,CARD,RAZORPAY,325.63,8.14,1.47,316.02,SUCCESS,13-09-2025,PENDING,0,0.13,INR,CREDIT_CARD
PAY50169,ORD10169,sweet-delights-001,TXN_388192,UPI,PAYTM,360.39,9.01,1.62,349.76,SUCCESS,13-09-2025,PENDING,0,0.09,INR,CREDIT_CARD
PAY50171,ORD10171,bean-brew-001,TXN_101523,CASH,PAYTM,311.78,7.79,1.4,302.58,SUCCESS,13-09-2025,SETTLED,0,0.19,INR,PAYTM
PAY50172,ORD10172,crust-crumble-001,TXN_673953,WALLET,PAYTM,536.19,13.4,2.41,520.37,SUCCESS,13-09-2025,PENDING,0,0.24,INR,DEBIT_CARD
PAY50173,ORD10173,bean-brew-001,TXN_562816,WALLET,MANUAL,319.99,8,1.44,310.55,SUCCESS,13-09-2025,PENDING,0,0.12,INR,PAYTM
PAY50174,ORD10174,burger-blvd-001,TXN_125263,UPI,STRIPE,506.13,12.65,2.28,491.2,SUCCESS,13-09-2025,SETTLED,0,0.08,INR,PHONEPE
PAY50175,ORD10175,sweet-delights-001,TXN_302176,CARD,MANUAL,321.3,8.03,1.45,311.82,SUCCESS,13-09-2025,PENDING,0,0.01,INR,DEBIT_CARD
PAY50176,ORD10176,sweet-delights-002,TXN_331673,CASH,RAZORPAY,448.77,11.22,2.02,435.53,SUCCESS,13-09-2025,SETTLED,0,0.19,INR,CREDIT_CARD
